Site_Name,Alt_1,Alt_2,Alt_3,Site,River_Side,GCMRC_Mile,RiverMile,NPS_Primar,NPS_Legacy,NPS_Size,NPS_Campsite,RemoteCamera,Photos_Available,Latitude,Longitude
Upper Cremation Camp,Suspension Bridge Camp, , ,Upper_Cremation_Camp,L,87.665,87.67,Yes,No,M,Y,Yes,Yes,36.10031253,-112.0831888
Lower Cremation Camp,N/A, , ,Lower_Cremation_Camp,L,87.709,87.71,Yes,No,M,Y,No,Yes,36.1003509,-112.0839018
Upper 91 Mile Camp,N/A, , ,Upper_91_Mile_Camp,L,91.606,91.61,Yes,Yes,N/A,N,No,Yes,36.10547276,-112.144996
91 Mile Creek Camp,New Trinity Camp,Ninetyone Mile Creek Camp,91 Mile Right Camp,91_Mile_Creek_Camp,R,91.727,91.73,Yes,No,S,Y,Yes,Yes,36.10667117,-112.1468245
No Name 92.0 Camp,N/A, , ,No_Name_92.0_Camp,L,92.003,92,No,No,N/A,N,No,Yes,36.10575589,-112.1514852
Trinity Creek Camp,Old Trinity Camp,Trinity Camp, ,Trinity_Creek_Camp,R,92.071,92.07,Yes,No,S,Y,No,Yes,36.10623151,-112.1529264
Above Salt Creek Camp,N/A, , ,Above_Salt_Creek_Camp,L,92.764,92.76,Yes,No,M,Y,No,Yes,36.10123697,-112.1636368
Salt Creek Camp,N/A, , ,Salt_Creek_Camp,L,93.137,93.14,Yes,No,S,Y,No,Yes,36.09933267,-112.1695466
Granite Camp,Monument Creek Camp,Upper Granite Rapids Camp, ,Granite_Camp,L,93.83,93.83,Yes,No,L,Y,Yes,Yes,36.09740242,-112.1818232
Hermit Camp,N/A, , ,Hermit_Camp,L,95.39,95.39,No,No,M,Y,No,Yes,36.09916282,-112.2087604
No Name 96.4 Camp,N/A, , ,No_Name_96.4_Camp,L,96.382,96.38,No,No,N/A,N,No,Yes,36.10625915,-112.2236556
Schist Camp,N/A, , ,Schist_Camp,L,96.533,96.53,Yes,No,M,Y,No,Yes,36.10795787,-112.2254222
Upper Boucher Camp,Boucher Rapids Camp,Boucher Camp, ,Upper_Boucher_Camp,L,97.113,97.11,No,No,M,N,No,Yes,36.11526619,-112.2307161
Boucher Camp,Lower Boucher Camp, , ,Boucher_Camp,L,97.204,97.2,Yes,No,N/A,Y,No,Yes,36.11648995,-112.2307762
Crystal Camp,Upper Crystal Camp, , ,Crystal_Camp,R,98.714,98.71,Yes,No,M,Y,No,Yes,36.13491455,-112.2428
Above Tuna Creek Camp,Tuna Creek Camp, , ,Above_Tuna_Creek_Camp,R,99.652,99.65,No,Yes,XS,N,No,Yes,36.14272956,-112.256079
Above Tuna Rapids Camp,Disaster Beach Camp,Tuna Rapids Camp, ,Above_Tuna_Rapids_Camp,L,99.671,99.67,Yes,Yes,S,Y,No,Yes,36.14193294,-112.2566379
Lower Tuna Camp,100 Mile Camp, , ,Lower_Tuna_Camp,L,100.172,100.17,Yes,No,L,Y,No,Yes,36.14500509,-112.2637935
New Shady Grove Camp,N/A, , ,New_Shady_Grove_Camp,R,103.454,103.45,Yes,Yes,M,Y,No,Yes,36.16560522,-112.3064563
103 Mile Camp,N/A, , ,103_Mile_Camp,R,103.679,103.68,Yes,Yes,M,Y,No,Yes,36.16891428,-112.3070917
Emerald Camp,104 Mile Camp,Pegmatite Sill Camp, ,Emerald_Camp,R,104.445,104.45,Yes,No,M,Y,Yes,Yes,36.17987334,-112.3087543
106.2 Mile Camp,105.5 Mile Camp, , ,106.2_Mile_Camp,R,106.238,106.24,No,Yes,N/A,N,No,Yes,36.20226202,-112.3245774
Ross Wheeler Camp,N/A, , ,Ross_Wheeler_Camp,L,108.304,108.3,Yes,No,S,Y,No,Yes,36.22936301,-112.3388126
Parkins Inscription Camp,Slash Camp,Bass Rapids Camp, ,Parkins_Inscription_Camp,R,108.55,108.55,Yes,No,M,Y,No,Yes,36.23291374,-112.3393636
Bass Crossing Camp,N/A, , ,Bass_Crossing_Camp,R,108.877,108.88,Yes,Yes,S,Y,No,Yes,36.23709533,-112.3424286
Bass Camp,Lower Bass Camp, , ,Bass_Camp,R,109.007,109.01,Yes,No,L,Y,No,Yes,36.23794605,-112.3446698
110 Mile Camp,Stick Camp,Hundred and Ten Mile Camp, ,110_Mile_Camp,R,109.955,109.96,Yes,No,L,Y,No,Yes,36.24317968,-112.3575376
Below Walthenberg Camp,Walthenberg Camp,Walthenberg Rapids Camp, ,Below_Walthenberg_Camp,R,113.198,113.2,No,Yes,S,N,No,Yes,36.23638683,-112.4121188
